DIM,10 cloudlets,20 cloudlets,30 cloudlets,40 cloudlets,50 cloudlets,60 cloudlets,70 cloudlets,80 cloudlets,90 cloudlets,100 cloudlets,110 cloudlets,120 cloudlets,130 cloudlets,140 cloudlets,150 cloudlets,160 cloudlets,170 cloudlets,180 cloudlets,190 cloudlets,200 cloudlets,210 cloudlets,220 cloudlets,230 cloudlets,240 cloudlets,250 cloudlets,260 cloudlets,270 cloudlets,280 cloudlets,290 cloudlets,300 cloudlets,310 cloudlets,320 cloudlets,330 cloudlets,340 cloudlets,350 cloudlets,360 cloudlets,370 cloudlets,380 cloudlets,390 cloudlets,400 cloudlets,
10 VMs,1,2,3,4,5,6,6.99,8,8.99,10,10.99,11.99,12.99,13.99,14.99,15.99,16.98,17.98,18.98,20,20.98,21.98,22.98,23.98,25,25.98,26.97,27.98,28.97,29.98,30.97,31.98,32.97,33.97,34.97,35.97,36.96,37.96,38.96,40,
9 VMs,1.2,2.3,3.4,4.5,5.6,6.69,7.8,8.89,10,11.11,12.23,13.34,14.45,15.57,16.67,17.77,18.88,20,21.1,22.21,23.32,24.44,25.56,26.65,27.76,28.87,29.98,31.09,32.21,33.31,34.43,35.54,36.64,37.75,38.86,40,41.07,42.19,43.3,44.43,
8 VMs,1.4,2.6,3.8,5,6.28,7.53,8.77,10,11.26,12.51,13.75,14.99,16.25,17.5,18.74,20,21.24,22.5,23.74,25,26.23,27.49,28.73,29.98,31.23,32.5,33.72,34.97,36.22,37.48,38.72,40,41.22,42.48,43.71,44.96,46.22,47.46,48.71,50,
7 VMs,1.6,2.9,4.33,5.75,7.15,8.6,10,11.44,12.86,14.29,15.72,17.14,18.57,20,21.43,22.84,24.28,25.71,27.12,28.56,29.98,31.42,32.83,34.26,35.7,37.11,38.55,40,41.4,42.82,44.26,45.69,47.1,48.55,50,51.4,52.81,54.25,55.67,57.1,
6 VMs,1.8,3.4,5,6.7,8.36,10,11.68,13.34,14.99,16.67,18.33,20,21.67,23.32,25,26.65,28.32,29.98,31.66,33.31,34.97,36.64,38.31,40,41.64,43.3,44.96,46.65,48.31,50,51.65,53.29,54.95,56.64,58.28,59.96,61.65,63.28,64.94,66.61,
5 VMs,2,4,6,8,10,11.99,13.99,15.99,17.98,20,21.98,23.98,25.98,27.98,29.98,31.98,33.97,35.97,37.96,40,41.96,43.96,45.96,47.96,50,51.95,53.95,55.95,57.94,59.96,61.94,63.94,65.94,67.94,69.94,71.94,73.93,75.93,77.92,79.96,
4 VMs,2.6,5,7.53,10,12.51,14.99,17.5,20,22.5,25,27.49,29.98,32.5,34.97,37.48,40,42.48,44.96,47.46,50,52.46,54.95,57.47,59.96,62.45,64.94,67.45,69.94,72.45,74.95,77.43,79.96,82.46,84.92,87.45,89.92,92.43,94.91,97.45,100,
3 VMs,3.4,6.7,10,13.34,16.67,20,23.32,26.65,29.98,33.31,36.64,40,43.3,46.65,50,53.29,56.64,59.96,63.28,66.61,69.94,73.28,76.6,79.96,83.26,86.61,89.92,93.26,96.63,100,103.25,106.61,109.9,113.23,116.58,119.92,123.24,126.56,129.88,133.22,
2 VMs,5,10,14.99,20,25,29.98,34.97,40,44.96,50,54.95,59.96,64.94,69.94,74.95,79.96,84.92,89.92,94.91,100,104.9,109.9,114.89,119.92,125,129.88,134.87,139.88,144.86,149.9,154.85,159.88,164.84,169.84,174.85,179.84,184.82,189.82,194.81,200,
1 VMs,10,20,29.98,40,50,59.96,69.94,79.96,89.92,100,109.9,119.92,129.88,139.88,149.9,159.88,169.84,179.84,189.82,200,209.8,219.8,229.78,239.8,250,259.76,269.74,279.76,289.72,299.8,309.7,319.72,329.68,339.68,349.7,359.68,369.64,379.64,389.62,399.8,